Molecule,Atom 1,Atom 2,Bond Length,Cos Part Angles,Cos(Length),InRing_B,Mayer,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Bond Type,MullikenCharge1,MullikenCharge2,Neighbour1,Neighbour2,MaxRing,Ratio,IsBroken
4014,4,12,1.559853172,0.703112174,1.096751754,5,1.03046912,2.55,0,2.55,0,0,0,5,5,0,-0.0546,-0.021764,3,3,13,0.384615385,0
4014,12,17,1.55352129,0.897406547,1.394140177,5,1.02092747,2.55,0,2.55,0,0,0,5,5,0,-0.021764,-0.032094,3,3,13,0.384615385,0
4014,17,25,1.539138561,0.717660865,1.104579511,6,1.01803627,2.55,0,2.55,0,0,0,5,6,0,-0.032094,0.32594,3,3,13,0.384615385,0
4014,25,30,1.52332303,0.73104601,1.113619223,6,0.97035836,2.55,0,2.55,0,0,0,6,6,0,0.32594,0.033696,3,3,13,0.384615385,0
4014,1,4,1.504434584,0.875312017,1.31684967,5,0.95058875,2.55,0,2.55,0,0,0,5,5,0,0.098077,-0.0546,3,3,13,0.384615385,1
4014,6,7,1.505096716,0.837991946,1.261258926,0,1.04600169,2.55,0,2.55,0,0,0,0,0,0,0.052131,0.148114,1,3,0,0,0
4014,35,36,1.50377837,0.845696988,1.271740839,0,1.05299306,2.55,0,2.55,0,0,0,0,0,0,0.161074,0.055471,3,1,0,0,0
4014,30,34,1.399437341,0.920561125,1.288267613,0,0.94701345,2.55,0,3.44,1,0,0,6,0,1,0.033696,-0.262988,3,2,0,0,0
4014,5,1,1.375751684,0.849963089,1.169338152,0,1.0083233,3.44,1,2.55,0,0,0,0,5,1,-0.272255,0.098077,2,3,0,0,0
4014,7,5,1.371608478,0.699514048,0.959459398,0,1.06487123,2.55,0,3.44,1,0,0,0,0,1,0.148114,-0.272255,3,2,0,0,0
4014,34,35,1.35212557,0.701786513,0.948903489,0,1.13574987,3.44,1,2.55,0,0,0,0,0,1,-0.262988,0.161074,2,3,0,0,0
4015,5,4,1.561593255,0.699402173,1.092181716,5,1.03835435,2.55,0,2.55,0,0,0,5,5,0,-0.022446,-0.05644,3,3,13,0.384615385,0
4015,10,5,1.552179139,0.893751442,1.387262343,5,1.01985949,2.55,0,2.55,0,0,0,5,5,0,-0.033415,-0.022446,3,3,13,0.384615385,0
4015,18,10,1.539954293,0.717682114,1.105197652,6,1.01772938,2.55,0,2.55,0,0,0,6,5,0,0.328985,-0.033415,3,3,13,0.384615385,0
4015,23,18,1.522764299,0.730664794,1.112630263,6,0.97204489,2.55,0,2.55,0,0,0,6,6,0,0.032798,0.328985,3,3,13,0.384615385,0
4015,4,1,1.514426708,0.88353843,1.338054197,5,0.96326053,2.55,0,2.55,0,0,0,5,5,0,-0.05644,-0.094235,3,3,13,0.384615385,1
4015,47,48,1.509302252,0.836947752,1.263207126,0,1.04028228,2.55,0,2.55,0,0,0,0,0,0,0.144045,0.04261,3,1,0,0,0
4015,1,36,1.470621401,0.97292704,1.430807327,0,1.03508795,2.55,0,2.55,0,0,1,5,6,0,-0.094235,0.154794,3,3,0,0,0
4015,27,23,1.39973225,0.919564903,1.287144651,0,0.94707536,3.44,1,2.55,0,0,0,0,6,1,-0.263315,0.032798,2,3,0,0,0
4015,39,46,1.386822957,0.962407995,1.334689501,0,1.00063815,2.55,0,3.44,1,1,0,6,0,1,0.216845,-0.270247,3,2,0,0,0
4015,46,47,1.360634679,0.727382259,0.989701526,0,1.08178201,3.44,1,2.55,0,0,0,0,0,1,-0.270247,0.144045,2,3,0,0,0
4015,28,27,1.352395516,0.858105404,1.160497901,0,1.13506258,2.55,0,3.44,1,0,0,0,0,1,0.163282,-0.263315,3,2,0,0,0
4016,18,17,1.467554783,0.743357635,1.090918052,6,0.92988269,3.44,1,2.55,0,0,0,6,5,1,-0.288094,0.221047,2,4,15,0.266666667,1
4016,17,20,1.448418261,0.875221622,1.26768698,5,1.02634181,2.55,0,3.04,2,0,0,5,5,2,0.221047,-0.271683,4,3,15,0.266666667,0
4016,1,18,1.342185915,0.749923598,1.00653689,6,1.17512844,2.55,0,3.44,1,1,0,6,6,1,0.167929,-0.288094,3,2,15,0.266666667,0
4016,29,40,1.53415782,0.70402948,1.080092332,0,1.08929941,2.55,0,2.55,0,0,0,0,0,0,0.170344,0.001261,2,2,0,0,0
4016,40,43,1.531435323,0.697238488,1.067775649,0,1.08099637,2.55,0,2.55,0,0,0,0,0,0,0.001261,-0.028359,2,2,0,0,0
4016,43,46,1.529797288,0.835366177,1.277940912,0,1.10659702,2.55,0,2.55,0,0,0,0,0,0,-0.028359,0.020962,2,1,0,0,0
4016,20,29,1.456040275,0.775269461,1.128823559,0,0.95769958,3.04,2,2.55,0,0,0,5,0,2,-0.271683,0.170344,3,2,0,0,0
4016,34,33,1.413167138,0.868071849,1.22673061,0,0.95714451,2.55,0,3.44,1,0,0,0,0,1,0.179928,-0.297613,1,2,0,0,0
4016,33,0,1.349552791,0.725586821,0.979217719,0,1.17862081,3.44,1,2.55,0,0,1,0,6,1,-0.297613,0.210948,2,3,0,0,0
4017,18,17,1.463539808,0.737288198,1.079050628,6,0.93845329,3.44,1,2.55,0,0,0,6,5,1,-0.299603,0.227584,2,4,15,0.266666667,1
4017,17,20,1.446997698,0.878745457,1.271542653,5,1.0277245,2.55,0,3.04,2,0,0,5,5,2,0.227584,-0.279696,4,3,15,0.266666667,0
4017,1,18,1.34909022,0.747861965,1.008933263,6,1.15083438,2.55,0,3.44,1,1,0,6,6,1,0.111075,-0.299603,3,2,15,0.266666667,0
4017,29,35,1.534525269,0.704364156,1.080864595,0,1.08965131,2.55,0,2.55,0,0,0,0,0,0,0.173656,0.004312,2,2,0,0,0
4017,35,38,1.531446803,0.697779794,1.068612634,0,1.0809251,2.55,0,2.55,0,0,0,0,0,0,0.004312,-0.027028,2,2,0,0,0
4017,38,41,1.52994781,0.835563141,1.278367998,0,1.10627919,2.55,0,2.55,0,0,0,0,0,0,-0.027028,0.021501,2,1,0,0,0
4017,20,29,1.454100403,0.774714926,1.126513286,0,0.96499827,3.04,2,2.55,0,0,0,5,0,2,-0.279696,0.173656,3,2,0,0,0
4017,34,33,1.410706696,0.869010158,1.225918448,0,0.96379646,2.55,0,3.44,1,0,0,0,0,1,0.182053,-0.292768,1,2,0,0,0
4017,33,0,1.350462937,0.726884063,0.981629987,0,1.18261862,3.44,1,2.55,0,0,1,0,6,1,-0.292768,0.215997,2,3,0,0,0
4018,19,21,1.596679454,0.762122328,1.216865063,5,0.900345,2.55,0,2.55,0,0,0,5,5,0,0.226474,-0.190108,4,4,19,0.368421053,0
4018,21,15,1.521662272,0.72356883,1.101027389,5,0.92497324,2.55,0,2.55,0,0,1,5,5,0,-0.190108,0.057292,4,3,19,0.368421053,0
4018,20,19,1.467275349,0.779327782,1.143488444,6,0.92450692,3.44,1,2.55,0,0,0,6,5,1,-0.325747,0.226474,2,4,19,0.368421053,1
4018,1,20,1.354832801,0.757232138,1.025922938,6,1.11613647,2.55,0,3.44,1,1,0,6,6,1,0.13668,-0.325747,3,2,19,0.368421053,0
4018,34,35,1.537192462,0.839180764,1.289982346,0,1.10492602,2.55,0,2.55,0,0,0,0,0,0,0.06521,0.023443,2,1,0,0,0
4018,12,34,1.515205482,0.839175681,1.271523592,0,1.03973563,2.55,0,2.55,0,1,0,6,0,0,-0.012182,0.06521,3,2,0,0,0
4018,33,32,1.4214761,0.863211583,1.227034635,0,0.94693494,2.55,0,3.44,1,0,0,0,0,1,0.196318,-0.337362,1,2,0,0,0
4018,32,0,1.365333947,0.904525394,1.234979226,0,1.09742141,3.44,1,2.55,0,0,1,0,6,1,-0.337362,0.146138,2,3,0,0,0
4019,20,17,1.480435747,0.954304345,1.412786267,5,0.95337092,3.04,2,2.55,0,0,0,5,5,2,-0.234532,0.217291,3,4,15,0.266666667,0
4019,17,18,1.431997479,0.767227962,1.098668507,6,0.96432635,2.55,0,3.44,1,0,0,5,6,1,0.217291,-0.286203,4,2,15,0.266666667,1
4019,18,1,1.345534629,0.754678535,1.015446103,6,1.16254272,3.44,1,2.55,0,0,1,6,6,1,-0.286203,0.210633,2,3,15,0.266666667,0
4019,48,43,1.509577147,0.99990939,1.509440364,0,1.06459241,2.55,0,2.55,0,0,1,0,6,0,0.07783,-0.022436,1,3,0,0,0
4019,34,52,1.503883406,0.837560015,1.259592608,0,1.04952475,2.55,0,2.55,0,0,0,0,0,0,0.15931,0.04721,3,1,0,0,0
4019,29,20,1.412392683,0.971743939,1.37248403,0,0.96165826,2.55,0,3.04,2,1,0,6,5,2,0.184237,-0.234532,3,3,0,0,0
4019,0,33,1.38060922,0.88136373,1.216818891,0,0.97988091,2.55,0,3.44,1,1,0,6,0,1,0.169945,-0.278857,3,2,0,0,0
4019,33,34,1.372826583,0.698251591,0.958578346,0,1.06390291,3.44,1,2.55,0,0,0,0,0,1,-0.278857,0.15931,2,3,0,0,0
4020,17,18,1.478092926,0.782805942,1.157059926,6,0.89956576,2.55,0,3.44,1,0,0,5,6,1,0.2324,-0.294608,4,2,15,0.266666667,1
4020,20,17,1.444650645,0.874142642,1.262830731,5,1.04813734,3.04,2,2.55,0,0,0,5,5,2,-0.284957,0.2324,3,4,15,0.266666667,0
4020,18,1,1.334830211,0.754564038,1.007214873,6,1.19152064,3.44,1,2.55,0,0,1,6,6,1,-0.294608,0.206363,2,3,15,0.266666667,0
4020,39,29,1.528127107,0.684634698,1.046208841,0,1.07360796,2.55,0,2.55,0,0,0,0,0,0,0.220436,0.154209,2,2,0,0,0
4020,51,52,1.475924866,0.888445982,1.311279517,0,0.81490082,3.44,1,2.55,0,0,0,0,0,1,-0.290788,-0.066979,2,4,0,0,0
4020,29,20,1.453065372,0.774152075,1.124893572,0,0.9394912,2.55,0,3.04,2,0,0,0,5,2,0.154209,-0.284957,2,3,0,0,0
4020,42,39,1.402996746,0.667194082,0.936071126,0,1.02238695,3.44,1,2.55,0,0,0,0,0,1,-0.387061,0.220436,2,2,0,0,0
4020,45,42,1.402252362,0.839165033,1.17672115,0,1.00071414,2.55,0,3.44,1,0,0,0,0,1,0.191557,-0.387061,1,2,0,0,0
4020,0,33,1.37876814,0.887773201,1.224033406,0,1.00016438,2.55,0,3.44,1,1,0,6,0,1,0.158919,-0.255985,3,2,0,0,0
4020,33,34,1.365836424,0.694251375,0.948233815,0,1.07810242,3.44,1,2.55,0,0,0,0,0,1,-0.255985,0.349053,2,3,0,0,0
4020,34,51,1.321606363,0.697308707,0.921567624,0,1.23620825,2.55,0,3.44,1,0,0,0,0,1,0.349053,-0.290788,3,2,0,0,0
4021,18,17,1.480047754,0.841188389,1.244998986,6,0.90114892,3.44,1,2.55,0,0,0,6,5,1,-0.307812,0.175745,2,4,15,0.266666667,1
4021,17,20,1.454372183,0.844104346,1.227641881,5,1.02162213,2.55,0,3.04,2,0,0,5,5,2,0.175745,-0.262613,4,3,15,0.266666667,0
4021,0,1,1.41093061,0.998839444,1.409293145,6,1.38736082,2.55,0,2.55,0,0,0,6,6,0,-0.061664,0.138038,3,3,15,0.266666667,0
4021,1,18,1.358909029,0.733317263,0.99651145,6,1.15559725,2.55,0,3.44,1,0,0,6,6,1,0.138038,-0.307812,3,2,15,0.266666667,0
4021,26,30,1.535252693,0.701120701,1.076397445,0,1.07962815,2.55,0,2.55,0,0,0,0,0,0,0.169856,6.30E-05,2,2,0,0,0
4021,30,33,1.531917947,0.696421537,1.06686065,0,1.0798415,2.55,0,2.55,0,0,0,0,0,0,6.30E-05,-0.026656,2,2,0,0,0
4021,33,36,1.529781495,0.835703474,1.278443709,0,1.10650189,2.55,0,2.55,0,0,0,0,0,0,-0.026656,0.022885,2,1,0,0,0
4021,29,28,1.527500323,0.850585844,1.299270152,0,1.13199976,2.55,0,2.55,0,0,0,0,0,0,0.010811,0.064066,1,2,0,0,0
4021,28,0,1.515606304,0.740704611,1.122616578,0,1.02632397,2.55,0,2.55,0,0,0,0,6,0,0.064066,-0.061664,2,3,0,0,0
4021,20,26,1.452760426,0.777100418,1.128940734,0,0.98172096,3.04,2,2.55,0,0,0,5,0,2,-0.262613,0.169856,3,2,0,0,0
4022,1,23,1.54103587,0.884164611,1.36252938,0,0.93021055,2.55,0,2.55,0,0,1,6,6,0,0.218572,0.042364,4,3,0,0,0
4022,38,39,1.509229081,0.83664295,1.26268587,0,1.04017163,2.55,0,2.55,0,0,0,0,0,0,0.144153,0.042814,3,1,0,0,0
4022,35,33,1.496721953,0.838854028,1.255531238,0,1.07078583,2.55,0,2.55,0,0,1,0,5,0,0.114147,-0.18299,1,3,0,0,0
4022,27,37,1.386806452,0.962871091,1.335315841,0,1.00048447,2.55,0,3.44,1,1,0,6,0,1,0.222128,-0.272408,3,2,0,0,0
4022,37,38,1.36178054,0.727184446,0.990265628,0,1.07787387,3.44,1,2.55,0,0,0,0,0,1,-0.272408,0.144153,2,3,0,0,0
4023,1,2,1.447645443,0.830237748,1.201889892,6,0.94013307,2.55,0,3.44,1,0,0,6,6,1,0.220927,-0.331356,4,2,10,0.3,1
4023,3,9,1.434908375,0.999594825,1.434326987,6,1.21652453,2.55,0,2.55,0,0,0,6,6,0,0.121963,0.081552,3,3,10,0.3,0
