Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4012-2,14,31,1.328948144,2.55,0,3.44,1,0,0,0,0,3,2
4012-2,14,36,1.210873969,2.55,0,3.44,1,0,0,0,0,3,1
4012-2,16,28,1.210310481,2.55,0,3.44,1,0,0,0,0,3,1
4012-2,17,19,1.204763398,2.55,0,3.44,1,0,0,0,0,3,1
4012-2,6,18,1.202126291,2.55,0,3.44,1,0,0,5,0,3,1
4013,3,4,1.547907821,2.55,0,2.55,0,0,0,5,5,3,3
4013,1,4,1.529294788,2.55,0,2.55,0,0,0,5,5,3,3
4013,2,3,1.462861235,3.44,1,2.55,0,0,0,5,5,2,3
4013,30,32,1.41046319,2.55,0,2.55,0,1,1,6,6,3,2
4013,8,9,1.409693868,2.55,0,2.55,0,1,1,6,6,3,2
4013,30,34,1.408721101,2.55,0,2.55,0,1,1,6,6,3,2
4013,8,13,1.408040523,2.55,0,2.55,0,1,1,6,6,3,2
4013,10,11,1.401203971,2.55,0,2.55,0,1,1,6,6,2,3
4013,33,36,1.40087833,2.55,0,2.55,0,1,1,6,6,2,2
4013,11,12,1.399527765,2.55,0,2.55,0,1,1,6,6,3,2
4013,35,36,1.397441449,2.55,0,2.55,0,1,1,6,6,2,2
4013,34,35,1.39656746,2.55,0,2.55,0,1,1,6,6,2,2
4013,12,13,1.395265027,2.55,0,2.55,0,1,1,6,6,2,2
4013,32,33,1.393797824,2.55,0,2.55,0,1,1,6,6,2,2
4013,9,10,1.391368349,2.55,0,2.55,0,1,1,6,6,2,2
4013,0,2,1.358351012,3.04,2,3.44,1,0,0,5,5,2,2
4013,0,1,1.287882939,3.04,2,2.55,0,0,0,5,5,2,3
4013,4,5,1.524368088,2.55,0,2.55,0,0,0,5,0,3,3
4013,11,22,1.508797265,2.55,0,2.55,0,1,0,6,0,3,4
4013,3,26,1.491891946,2.55,0,2.55,0,0,0,5,0,3,2
4013,1,8,1.472396677,2.55,0,2.55,0,0,1,5,6,3,3
4013,28,30,1.470936964,2.55,0,2.55,0,0,1,0,6,2,3
4013,6,18,1.432656302,3.44,1,2.55,0,0,0,0,0,2,1
4013,26,28,1.344846913,2.55,0,2.55,0,0,0,0,0,2,2
4013,5,6,1.344646152,2.55,0,3.44,1,0,0,0,0,3,2
4013,5,7,1.204898455,2.55,0,3.44,1,0,0,0,0,3,1
4014,16,17,1.576166806,2.55,0,2.55,0,0,0,5,5,3,3
4014,4,12,1.559853172,2.55,0,2.55,0,0,0,5,5,3,3
4014,14,16,1.555313506,2.55,0,2.55,0,0,0,5,5,3,3
4014,3,4,1.555057084,2.55,0,2.55,0,0,0,5,5,3,3
4014,12,17,1.55352129,2.55,0,2.55,0,0,0,5,5,3,3
4014,14,18,1.548648138,2.55,0,2.55,0,0,0,5,5,3,2
4014,12,18,1.547772433,2.55,0,2.55,0,0,0,5,5,3,2
4014,16,23,1.544549004,2.55,0,2.55,0,0,0,5,6,3,3
4014,17,25,1.539138561,2.55,0,2.55,0,0,0,5,6,3,3
4014,3,14,1.537127952,2.55,0,2.55,0,0,0,5,5,3,3
4014,23,27,1.524332871,2.55,0,2.55,0,0,0,6,6,3,2
4014,25,30,1.52332303,2.55,0,2.55,0,0,0,6,6,3,3
4014,1,4,1.504434584,2.55,0,2.55,0,0,0,5,5,3,3
4014,2,3,1.462350659,3.44,1,2.55,0,0,0,5,5,2,3
4014,0,2,1.377653778,3.04,2,3.44,1,0,0,5,5,2,2
4014,27,30,1.337108426,2.55,0,2.55,0,0,0,6,6,2,3
4014,0,1,1.274284637,3.04,2,2.55,0,0,0,5,5,2,3
4014,6,7,1.505096716,2.55,0,2.55,0,0,0,0,0,1,3
4014,35,36,1.50377837,2.55,0,2.55,0,0,0,0,0,3,1
4014,25,31,1.430122004,2.55,0,3.44,1,0,0,6,0,3,1
4014,23,29,1.419765156,2.55,0,3.44,1,0,0,6,0,3,1
4014,30,34,1.399437341,2.55,0,3.44,1,0,0,6,0,3,2
4014,1,5,1.375751684,2.55,0,3.44,1,0,0,5,0,3,2
4014,5,7,1.371608478,3.44,1,2.55,0,0,0,0,0,2,3
4014,34,35,1.35212557,3.44,1,2.55,0,0,0,0,0,2,3
4014,35,41,1.210933308,2.55,0,3.44,1,0,0,0,0,3,1
4014,7,8,1.200011281,2.55,0,3.44,1,0,0,0,0,3,1
4015,9,10,1.575911817,2.55,0,2.55,0,0,0,5,5,3,3
4015,4,5,1.561593255,2.55,0,2.55,0,0,0,5,5,3,3
4015,7,9,1.556685431,2.55,0,2.55,0,0,0,5,5,3,3
4015,5,10,1.552179139,2.55,0,2.55,0,0,0,5,5,3,3
4015,3,4,1.549861233,2.55,0,2.55,0,0,0,5,5,3,3
4015,5,11,1.548948663,2.55,0,2.55,0,0,0,5,5,3,2
4015,7,11,1.548310957,2.55,0,2.55,0,0,0,5,5,3,2
4015,9,16,1.544144652,2.55,0,2.55,0,0,0,5,6,3,3
