Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
2070-2,5,1.5707045,1.2791,1.05141339,4,0.25,0,0.047812,0.052435,21.4259613,24.2827561,0.00716,0.00565,0.02967,0.0293
2071-2,5.1,1.56237997,1.3165,1.05166374,4,0.25,0,-0.086131,0.118228,21.4248421,24.2814877,0.0098,0.00784,0.02716,0.02185
2098-2,4.8,1.54918247,1.5244,1.09518408,4,0.25,0,0.086676,0.153438,13.7234997,16.7731663,0.0105,0.00792,0.01855,0.0171
2099-2,4.7,1.55710549,1.5453,1.08639945,4,0.25,0,0.089308,0.099859,9.99469929,12.8503277,0.00818,0.00739,0.01256,0.01116
2135-3,2.3,1.62124577,1.5465,0.94260982,10,0.3,0,-0.198514,-0.087573,18.1347511,31.7358144,0.00661,0.00652,0.01459,0.00003
2135-4,2,1.62890103,1.4482,0.93309119,10,0.3,0,-0.215151,-0.07072,18.1357541,31.7375697,0.00753,0.0065,0.01973,-0.00466
2136-2,2,1.63241194,1.4425,0.90854598,10,0.3,0,-0.242293,0.036912,18.1346091,31.735566,0.01055,0.00725,0.01931,-0.00194
2137-2,2.7,1.62697231,1.4544,0.93512158,10,0.3,0,-0.239318,-0.228974,18.1355722,31.7372513,0.00815,0.00702,0.00983,0.00904
2170-2,2.5,1.6246129,1.4866,1.00367119,10,0.3,0,0.047411,0.122632,18.1663322,30.2772204,0.01262,0.00706,0.03114,0.02667
2171-2,3.7,1.56017262,1.5588,0.89913313,10,0.3,0,0.040525,0.26645,18.1477403,30.2462338,0.01155,-0.01247,0.05413,0.00769
2171-3,2.3,1.62408984,1.4929,0.99516297,10,0.3,0,0.041414,0.140013,18.1691937,30.2819894,0.0116,0.00691,0.02454,0.01996
2185-,3.4,1.58299658,1.3554,1.01305071,5,0.2,0,-0.082411,-0.006289,30.2623726,39.3410844,-0.00092,-0.00111,0.00877,0.00852
2187-2,4.3,1.58816839,1.4521,0.98695928,8,0.375,0,-0.179676,0.001597,18.1919715,24.255962,0.0082,0.00809,0.01505,0.01285
2203-,6.1,1.48784239,1.1647,0.95357934,3,0.33333333,0,0.108458,0.108629,10.4879668,11.9862478,0.02093,0.02088,0.12496,0.12469
2205-,4.6,1.54609875,1.2405,0.82326898,3,0.33333333,0,0.023972,0.024617,10.474383,11.9707234,0.015,0.01499,0.09655,0.09604
2208-,5.1,1.53687797,1.2239,0.87147582,3,0.33333333,0,-0.110583,-0.086294,7.66748705,9.20098445,0.02019,0.01448,0.11752,0.1064
2211-,4.1,1.55163747,1.2432,0.84043013,3,0.33333333,0,-0.038883,-0.038871,10.1688451,11.6215372,0.02722,0.02649,0.07016,0.06993
2221-2,3.8,1.54207078,1.542,0.86331022,3,0.33333333,0,0.049333,0.04981,13.5003676,21.0005719,0.01947,0.00905,0.05394,0.02695
