Molecule,SMILES,Force,Predicted Type,Result,BeginAtom,EndAtom
95,CCOC(C=C1)=CC=C1C(C2=CC=C(OC)C=C2)(C#N)C(C3=CC=C(OCC)C=C3)(C#N)C4=CC=C(OC)C=C4,4.7,7,1,27,65
96,CC(OC1=CC=C(C(C=CC=C2)=C2[C@@]3([C@@]4(C#N)C5=C(C=CC=C5)C6=CC=C(OC(C)=O)C=C64)C#N)C3=C1)=O,4.1,7,1,21,32
97,O=C1C(C2=CC=C(OCC)C=C2)(C(C3=O)(C4=CC=C(OCC)C=C4)SC5=C3C=CC=C5)SC6=C1C=CC=C6,6.2,7,0,26,35
98,C/C=C/[C@@]1([H])[C@]2([H])[C@@]3([H])[C@]4([H])C=C[C@]4([H])[C@@]3([H])[C@]2([H])[C@@]1([H])/C=C/C,3.4,1,1,21,28
99,[H][C@@]12C=C[C@]1([H])C3([H])C2([H])[C@]4([H])[C@@]3([H])[C@@H](OC(C)=O)[C@H]4OC(C)=O,3.1,1,1,25,26
100,[H][C@@]12CC[C@]1([H])C3([H])C2([H])[C@]4([H])[C@@]3([H])[C@@H](OC(C)=O)[C@H]4OC(C)=O,4,1,1,25,26
101,C/C=C/[C@@]1([H])C2([H])C(C3=C2C=CC=C3)([H])[C@@]1([H])/C=C/C,3.2,1,1,26,29
102,CC/C=C\\CC[C@@H]1C(CC/C=C\\CC)C1(F)F,5,4,1,22,37
103,CC/C=C\\CC[C@H]1C(CC/C=C\\CC)C1(F)F,3.6,4,1,22,37
105,COC1=CC=C(O[C@@](C(C(F)2F)(F)OC3=CC=C(OC)C=C3)(F)C2(F)F)C=C1,4.5,1,1,24,27
106,COC1=CC=C(O[C@@]([C@](C(F)2F)(F)OC3=CC=C(OC)C=C3)(F)C2(F)F)C=C1,3.3,1,1,24,27
107,C[C@H]1C(C2)CC([Si](C)(C)C)C2[C@H]1[C@@H]3C(C4)CC([Si](C)(C)C)C4[C@@H]3[C@@H]5[C@H](C)C6C([Si](C)(C)C)CC5C6,3.7,7,1,13,59
108,CCOC1=CC=C(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2C5(N=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=N5)C8=CC=C(OCC)C=C8)C=C1,5.4,7,0,12,56
109,O=C(C)OC1=CC=CC=C1C2=NC3=C(O2)C=CC(OC(C)=O)=C3,4.9,7,1,14,33
110,O=C1N(CC2=CC=CC=C2)C(C(SCCOC(C)=O)=C1SCCOC(C)=O)=O,4.3,7,1,39,45
111,COC(C(C)SC(SC(C)C(OC)=O)=S)=O,4.6,7,1,4,25
112,CC(OCCOC(C=C1)=CC=C1/C(C(F)(F)F)=N/OS(C2=CC=CC(S(O/N=C(C(F)(F)F)/C3=CC=C(C=C3)OCCOC(C)=O)(=O)=O)=C2)(=O)=O)=O,4,7,1,67,72
113,O=C(OC)CCSCCC(OC)=O,4.7,7,1,5,20
114,O=C(OC)C1=CC=C(OCC2=CC=C(C(OC)=O)C=C2)C=C1,6.2,7,0,14,33
115,CCOC[C@H]1CN(C2=C(C)C=C(C)C=C2C)[C@](C3=C(F)C(F)=C(OCC)C(F)=C3F)([H])N1C4=C(C)C=C(C)C=C4C,5.4,7,1,33,72
116,CCOC[C@H]1CN(C2=C(C)C=C(C)C=C2C)[C@](C3=C(F)C=C(OCC)C=C3F)([H])N1C4=C(C)C=C(C)C=C4C,5.5,7,1,33,72
117,CCOC[C@H]1CN(C2=C(C)C=C(C)C=C2C)[C@](C3=CC=C(OCC)C=C3F)([H])N1C4=C(C)C=C(C)C=C4C,5.8,7,1,33,72
118,CC(C)OC(O1)C2=C(C=CC=C2)C1O[C@H](OC3OC4OC(OC(C)C)C5=C4C=CC=C5)C6=C3C=CC=C6,4.8,7,1,15,54
119,CC(OC(C=C1)=CC=C1[S+](C2=CC=C(OC(C)=O)C=C2)C3=CC=C(C(C)(C)(C))C=C3)=O,3.7,7,1,46,53
120,O=C(N1CCOC(NC)=O)C2=C(C=CC=C2)C31C4=CC=C(OC(NC)=O)C=C4OC5=C3C=CC(N(CC)CC)=C5,5,7,1,43,50
602,O[C@H](O1)[C@H](OC(C)=O)[C@@H](O)[C@H](O)[C@H]1COC(C)=O,6.1,7,1,25,29
603,O[C@H]1O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@@H]1OC(C)=O,6.7,7,1,23,28
604,C[C@H](C(O)=O)CCC(O)=O,5.6,7,1,2,13
605,C[Si](O)(C)O[Si](C)(C)C,4.4,7,1,3,13
606,CCCCCCCC,6.2,7,1,0,22
607,OCCOCCOCCO,6.8,7,1,0,9
608,OC(C1=CC=C(C(OCCO)=O)C=C1)=O,6.7,7,1,7,14
609,CCC[C@@H](C)CC(C)C,5.9,7,1,0,21
610,O=C(C1=CC(S(=O)(O)=O)=CC=C1)C2=CC(S(=O)(O)=O)=CC=C2,5.6,7,1,6,15
611,O=S(C1=CC=CC=C1)(C2=CC=CC=C2)=O,3.9,7,1,0,16
612,C[C@H](C1=CC=CC=C1)CCC2=CC=CC=C2,5.4,7,1,0,8
614,C[C@H](Cl)C[C@H](Cl)C[C@H](Cl)CCCl,6.1,7,1,0,22
616,CNC(O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2OC(NCCOC(CCN/N=C/C)=O)=O)=O,6.7,7,1,0,32
617,CNC(O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2OC(NCCOC(CCO/N=C/C)=O)=O)=O,6.5,7,1,0,32
618,CNC(O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2OC(NCCOC(CCSCC)=O)=O)=O,4.7,7,1,0,47
619,CNC(O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2OC(NCCOC(CCSSCC)=O)=O)=O,3.6,7,1,0,33
620,CNC(O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2OC(NCCOC(CC/N=C/C)=O)=O)=O,6.4,7,1,0,21
621,CC(OC1=CC=C(C(C(C2=C(OC3=CC=CC=C3)C=C4N2C=CC=C4OC(C)=O)=O)=O)C=C1)=O,5.8,7,1,28,49
622,CCSSC[C@H](C(NC)=O)NC(C)=O,3.5,7,1,9,24
623,C[C@]1(C2=O)[C@H](C(OC)=O)[C@H](C(OC)=O)[C@]2(C)C(C3=CC=CC=C3)=C1C4=CC=CC=C4,4.5,2,1,39,46
624,C[C@]1(C2=O)[C@H](C(OC)=O)[C@H](C(OC)=O)[C@]2(C)C(C3=CC=C(OC)C=C3)=C1C4=CC=C(OC)C=C4,4.6,2,1,37,44
625,C[C@]1(C2=O)[C@H](C(OC)=O)[C@H](C(OC)=O)[C@]2(C)C(C3=CC=C(N(C)C)C=C3)=C1C4=CC=C(N(C)C)C=C4,4.7,2,1,37,44
626,O=C1C2(C3=CC=C(OCC)C=C3)C(C4=C(C=CC=C4)C5=C6C=CC=C5)=C6C1(C7=CC=C(OCC)C=C7)C8=C2C=CC=C8,6.4,2,1,38,46
627,O=C(CC)C[C@H]1[C@@H](CC(CC)=O)[C@@H]2CCC[C@H]1S2(=O)=O,4.1,2,1,14,24
628,C[C@]1(C2=O)[C@H](C#CC)[C@H](C#CC)[C@]2(C)C(C3=CC=CC=C3)=C1C4=CC=CC=C4,3.3,2,1,39,46
630,C[C@]1([N+]2=[N-])[C@H](COC(C(Br)(C)C)=O)[C@H](COC(C(C)(C)Br)=O)[C@]2(C)C(C3=CC=CC=C3)=C1C4=CC=CC=C4,4.3,2,1,50,62
631,C[C@]1(S2(=O)=O)[C@H](COC(C(Br)(C)C)=O)[C@H](COC(C(C)(C)Br)=O)[C@]2(C)C(C3=CC=CC=C3)=C1C4=CC=CC=C4,4.1,2,1,50,62
632,C[C@]1(C2=O)[C@H](CC)[C@H](CC)[C@]2(C)C(C3=CC=CC=C3)=C1C4=CC=CC=C4,4.2,2,1,38,41
701,CN1C2=CC=C(OC(C)=O)C=C2C(C)(C)[C@]13OC(C(OC(C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,4.9,6,1,36,43
702,CC1(C)[C@]2(OC(C(CC)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,3.1,6,1,44,50
703,CN1C2=CC=C(OC(C(C)(C)CC(C)C3=CC=CC=C3)=O)C=C2C(C)(C)[C@]14OC(C(OC(C(C)(C)CC(C5=CC=CC=C5)C)=O)=CC([N+]([O-])=O)=C6)=C6C=C4,5,6,1,49,76
704,CN1C2=CC=C(OC(C(C)(C)CC(O)C)=O)C=C2C(C)(C)[C@]13OC(C(OC(C(C)(C)CC(O)C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,5.1,6,1,49,76
705,CN1C2=CC=C(OC(C(C)(C)CC(C(O)=O)C)=O)C=C2C(C)(C)[C@]13OC(C(OC(C(C)(C)CC(C(O)=O)C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,5,6,1,49,76
706,CC1(C)[C@]2(OC(C(C(C)(C)C(OC)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCCC(C)(C)C(OC)=O)C4=CC=CC=C41,2.9,6,1,46,63
707,CC1(C)[C@]2(OC(C(CC(C)C3=CC=CC=C3)=CC([N+]([O-])=O)=C4)=C4C=C2)N(CCCC(C5=CC=CC=C5)C)C6=CC=CC=C61,2.8,6,1,36,42
708,CC1(C)[C@]2(OC(C(CC(C)C(O)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCCC(C(O)=O)C)C4=CC=CC=C41,2.7,6,1,36,45
710,O=C(N1CCCC)[C@H]2[C@@]3(OCCOC(C(C)(Br)C)=O)C4=CC=CC=C4[C@@H]([C@H]2C1=O)C5=C3C=CC=C5,4.3,2,1,39,56
711,O=C(N1CCCC)[C@H]2[C@@]3(NCCOC(C(C)(Br)C)=O)C4=CC=CC=C4[C@@H]([C@H]2C1=O)C5=C3C=CC=C5,4.3,2,1,39,56
713,O=C(N1CCCC)[C@H]2[C@@]3(OCCO)C4=CC=CC=C4[C@@H]([C@H]2C1=O)C5=C3C=CC=C5,4.2,2,1,39,46
714,O=C(N1CCCC)[C@H]2[C@@]3(NCCO)C4=CC=CC=C4[C@@H]([C@H]2C1=O)C5=C3C=CC=C5,4.2,2,1,39,46
715,O=C(OC)[C@@]1([H])C[C@@H]2[C@]3([H])[C@@]([H])(N=NN3CC4=CC=C(C(OC)=O)C=C4)[C@H]1O2,6.2,2,0,0,40
716,O=C(OC)[C@@]1([H])C[C@@H]2[C@]3([H])[C@@]([H])(N(CC4=CC=C(C(OC)=O)C=C4)N=N3)[C@H]1O2,5.1,2,1,0,37
717,O=C(C(C)(C)CC)OCCC1=CN(CCOC(C(C)(C)CC)=O)N=N1,6.2,2,0,17,41
718,O=C(C(C)(C)CC)OCCN1C(CCOC(C(C)(C)CC)=O)=CN=N1,6.2,2,0,15,42
719,C[C@@H]1[C@]2([H])C=C[C@]2([H])[C@@H]1C,3.2,1,1,6,8
720,COC([C@@H]1[C@]2(CC)C(CC)=C(CC)[C@]2(CC)[C@@H]1C(OC)=O)=O,4.5,1,1,16,21
721,O=C(OC)[C@@]12[C@@](C(C)(C)[C@@H]2C(OC)=O)([H])C(CC)=C1CC,5.4,1,1,12,26
722,O=C(OC)[C@@]12[C@@](CC2)(C(OC)=O)C(CC)=C1CC,3.9,1,1,10,15
723,CC(N1CC2=C(C=CC=C2)C3=C(N(C)N=N3)C4=C1C=CC=C4)=O,5.6,2,0,27,35
724,CN(N=N1)C2=C1C(C=CC=C3)=C3N(C(C)=O)CC4=C2C=CC=C4,5.7,2,0,27,34
725,FC(C=C(C)C(F)=C1)=C1C[C@H]2[C@@H](CC3=C(F)C=C(C)C(F)=C3)[C@H](CC4=CC=NC=C4)[C@@H]2CC5=CC=NC=C5,4.4,1,1,58,62
726,CCC1=C[C@]2([H])[C@@H]3C=C(CC)[C@@H](C3)[C@]2([H])C1,5.9,2,0,3,22
727,CCC1=C[C@]2([H])[C@@H]3C=C[C@](C3)(CC)[C@]2([H])C1,4.9,2,1,3,27
728,O=C(OC)N1[C@@H]2[C@H]3C=C(CC)[C@H](C3)[C@@H]2N1C(OCC)=O,4.9,1,1,28,34
729,CCN1C([C@]2([H])[C@@H](COC(C)=O)C=C(CC)[C@@H](C)[C@]2([H])C1=O)=O,6.1,2,0,8,23
730,CCC1=C[C@@H]2C3[C@H](C(C(C=C(CC)C=C4)=C4C3=O)=O)[C@H]1C2,6.2,2,0,13,33
731,CCC1=C[C@@H]2C3[C@H](C(C(C(CC)=CC=C4)=C4C3=O)=O)[C@H]1C2,6.2,2,0,13,35
732,CCC1=C[C@@H]2C[C@H](C(CC)=O)[C@H]1C2,5.8,2,0,13,24
733,CCC1=C[C@@H]2C[C@@H](C(CC)=O)[C@H]1C2,5.8,2,0,13,24
734,O=C(N1CCNC)[C@H]2[C@@]3(OC(NC4=CC=CC(NC(OCCOC(C)=O)=O)=C4)=O)C5=CC=CC=C5[C@@H]([C@H]2C1=O)C6=C3C=CC=C6,4.3,2,1,39,73
735,CC(CCN1CC)(C)C2=C1C=CC(C#CC3=CC=C(N(C)[C@@]4(OC(C=C(C#CC5=CC(C(C)(C)CCN6CC)=C6C=C5)C([N+]([O-])=O)=C7)=C7C=C4)C8(C)C)C8=C3)=C2,5.7,6,1,60,94
736,O=C(OCC)[C@@H]1CO[C@@H]1C(OCC)=O,4.5,1,1,7,17
737,O=C(OCC)[C@@H]1CO[C@H]1C(OCC)=O,5.6,1,1,7,17
738,CC[C@@H]1CO[C@@H]1CC,4.1,1,1,5,7
739,CC[C@@H]1CO[C@H]1CC,4.8,1,1,5,7
740,CCC1=C[C@@H]2C[C@@](C(CC)=O)(C#N)[C@H]1C2,5,2,0,13,23
