Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
2278,2.3,1.581882022,1.5819,1.00355055,4,0.25,0,0.250304,0.250713
2279,3.7,1.581094118,1.26,1.05890644,4,0.25,0,0.254951,0.260821
2280,2.6,1.592030433,1.5692,1.02633233,4,0.25,0,0.036009,0.049514
2284,3.4,1.583074587,1.5626,1.05172876,4,0.25,0,0.043496,0.056811
2285,4.7,1.579380975,1.5528,1.02568536,4,0.25,0,-0.007932,0.0415
2286,3.1,1.537071088,1.5367,0.90109712,3,0.333333333,0,0.022458,0.048451
2287,5.7,1.425442324,1.244385289,0.96544216,4,0.25,4,-0.209124,-0.207398
2288,4.1,1.635122332,1.451500662,0.94495873,0,0,0,0.054978,0.057317
2289,5,1.467483554,0.94320427,0.90422041,0,0,3,-0.218892,-0.218558
2290,5.5,1.46028408,0.951723705,0.90638485,0,0,3,-0.234522,-0.216862
12-3,3.5,1.585156032,1.5829,1.07292589,4,0.25,0,-0.01417,0.053997
1001-2,3.1,1.474660704,1.1774,0.91359655,15,0.26666667,1,-0.305931,0.230085
1002-,2.7,1.443708165,1.1296,0.94712588,15,0.26666667,1,-0.292902,0.244688
1014-,3.5,1.469034353,1.0932,0.93296127,15,0.26666667,1,-0.313839,0.221937
1014-2,4,1.455283201,1.1234,0.95626119,15,0.26666667,1,-0.300244,0.211939
1014-2-,4,1.460532963,1.0622,0.9488088,15,0.26666667,1,-0.301966,0.19095
1015-,5.6,1.425716819,1.0353,0.99688874,15,0.33333333,1,-0.29917,0.219292
1017-2,3.5,1.424311596,1.111,0.93250067,15,0.26666667,1,-0.293807,0.221467
1017-3,3.5,1.447726758,1.1468,0.9206954,15,0.26666667,1,-0.299007,0.218103
1033-2,3.9,1.431169612,0.9921,0.97181838,17,0.352941176,1,-0.288096,0.260354
1034-2,4.8,1.42237796,1.0004,0.97881854,17,0.352941176,1,-0.287533,0.202168
1035-2,4.8,1.420183725,1.0013,0.98683866,17,0.352941176,1,-0.287491,0.200318
108-,4.3,1.614987045,1.4334,0.81114623,0,0,0,0.067443,0.067448
12-,4.7,1.563820923,1.5132,1.03754169,4,0.25,0,-0.048464,-0.003247
2013-2,4.6,1.459230647,1.2836,0.91365378,9,0.333333333,2,-0.281572,0.080534
2014-2,5,1.456823199,1.3243,0.93916998,9,0.333333333,2,-0.28617,0.138066
2029-2,3.4,1.58607709,1.5834,1.09294071,4,0.25,0,0.071313,0.101963
2030-,4.2,1.553611454,1.5483,0.94025291,6,0.16666667,0,-0.056405,0.019292
2031--,4.2,1.552152745,1.5393,0.91570318,10,0.3,0,0.019096,0.029063
2033b,3.8,1.842132209,1.6608,1.00762808,4,0.25,7,-0.093438,0.017198
2034b,4.2,1.845628601,0.7466,0.97431139,4,0.25,7,-0.0951625,0.0020415
2037b,3.9,1.845313311,0.89995,0.972343885,4,0.25,7,-0.06646,-0.0154105
2040-2,4,1.597099539,1.3289,0.87052581,20,0.45,0,0.060165,0.060868
2042-2,3.9,1.610987832,1.5768,0.9238018,16,0.4375,0,-0.171662,-0.167067
2043-2,2.8,1.584335417,1.5549,1.02680821,20,0.35,0,0.039051,0.076736
2043-2b,4.1,1.584335417,1.5549,1.02680821,20,0.45,0,0.039051,0.076736
2043b,5.2,1.583121317,1.331,1.02031572,20,0.45,0,0.028979,0.029188
2044-2,3.6,1.612645837,1.5849,0.95366399,20,0.35,0,-0.17687,-0.157247
2044-2b,4.5,1.612645837,1.5849,0.95366399,20,0.35,0,-0.17687,-0.157247
2044b,5.8,1.60824693,1.3053,0.94192052,20,0.45,0,-0.212452,-0.207679
2052-2,4.9,1.581442082,1.3002,0.93272205,4,0.25,0,-0.204397,-0.154802
2053-2,5.4,1.56887787,1.1083,0.9783506,4,0.25,0,0.039588,0.059951
2054-2,4.7,1.576678099,1.2926,0.91533228,4,0.25,0,0.010577,0.044346
2057-2,2.6,1.584407235,1.5607,0.98540577,12,0.25,0,0.149135,0.156784
2057-3,2.7,1.5826401,1.5504,0.99434298,12,0.25,0,0.131966,0.198893
2058-2,2.5,1.585261269,1.5538,0.98505929,12,0.25,0,0.115829,0.145267
2069-2,5.1,1.575162467,1.3404,1.00830723,4,0.25,0,-0.049862,-0.049435
2070-2,5,1.570704499,1.2791,1.05141339,4,0.25,0,0.047812,0.052435
2071-2,5.1,1.562379974,1.3165,1.05166374,4,0.25,0,-0.086131,0.118228
2098-2,4.8,1.549182469,1.5244,1.09518408,4,0.25,0,0.086676,0.153438
2099-2,4.7,1.557105492,1.5453,1.08639945,4,0.25,0,0.089308,0.099859
2135-3,2.3,1.621245769,1.5465,0.94260982,10,0.3,0,-0.198514,-0.087573
2135-4,2,1.628901033,1.4482,0.93309119,10,0.3,0,-0.215151,-0.07072
2136-2,2,1.632411936,1.4425,0.90854598,10,0.3,0,-0.242293,0.036912
2137-2,2.7,1.626972313,1.4544,0.93512158,10,0.3,0,-0.239318,-0.228974
2170-2,2.5,1.624612895,1.4866,1.00367119,10,0.3,0,0.047411,0.122632
2171-2,3.7,1.560172619,1.5588,0.89913313,10,0.3,0,0.040525,0.26645
2171-3,2.3,1.624089835,1.4929,0.99516297,10,0.3,0,0.041414,0.140013
2185-,3.4,1.582996581,1.3554,1.01305071,5,0.2,0,-0.082411,-0.006289
2187-2,4.3,1.588168394,1.4521,0.98695928,8,0.375,0,-0.179676,0.001597
2203-,6.1,1.487842385,1.1647,0.95357934,3,0.333333333,0,0.108458,0.108629
2205-,4.6,1.546098753,1.2405,0.82326898,3,0.333333333,0,0.023972,0.024617
2208-,5.1,1.536877974,1.2239,0.87147582,3,0.333333333,0,-0.110583,-0.086294
2211-,4.1,1.551637468,1.2432,0.84043013,3,0.333333333,0,-0.038883,-0.038871
2221-2,3.8,1.542070782,1.542,0.86331022,3,0.333333333,0,0.049333,0.04981
2231-2,3,1.553679766,1.2054,0.7691452,3,0.333333333,0,-0.2161,-0.215875
2232-2,5.4,1.534359926,1.2082,0.86411293,7,0.285714286,0,-0.21596,0.00773
2234-2,3.6,1.510433596,1.1605,0.80982788,3,0.333333333,0,-0.009134,-0.004746
2235-2,5,1.514476798,1.2202,0.88786943,3,0.333333333,0,-0.093871,0.045271
2242-2,6,1.514509642,1.1687,0.83183628,3,0.333333333,0,0.013772,0.026457
2246-2,5.4,1.526539523,1.2182,0.88400079,3,0.333333333,0,-0.097812,0.221967
2252-,5.8,1.505436418,1.1226,0.93864578,3,0.333333333,0,-0.043546,-0.017199
2253-2,6.2,1.483176899,1.1698,0.97533288,3,0.333333333,0,-0.005829,0.02138
2254-2,5.7,1.487244141,1.1656,0.96097381,3,0.333333333,0,-0.016041,0.081803
2256-2,5.6,1.490687551,1.1847,0.96622404,3,0.333333333,0,-0.060987,0.017862
2257-2,5,1.525838528,1.1561,0.92261988,3,0.333333333,0,-0.069902,-0.055843
2260-2,5.2,1.520916826,1.1707,0.84793466,3,0.333333333,0,-0.081426,0.172737
2273-2,5.2,1.506712095,1.5054,0.99579082,3,0.333333333,0,0.04608,0.187931
2274-2,4.4,1.551507872,1.3839,0.81051852,9,0.444444444,0,-0.235923,-0.058561
2275-2,6.1,1.466042377,1.4652,1.03295169,3,0.333333333,0,0.046619,0.254049
30b,4.2,1.475100764,1.3514,1.01002465,4,0.25,2,-0.241364,0.182105
31b,4.1,1.539995594,1.5371,0.93789981,4,0.25,2,-0.186529,-0.026976
48-,2.4,1.694556677,1.6944,0.85183993,8,0.125,0,-0.101815,-0.101491
49-,2.4,1.667782389,1.631,0.85975627,8,0.125,0,0.04013,0.040329
56-2,4,1.530622917,1.53,0.81673952,3,0.333333333,0,-0.048057,-0.016035
631-,4.4,1.909779048,1.3364,0.756102775,5,0.2,7,-0.4315395,0.848334
632-,5.1,1.573936792,1.2179,1.0063483,5,0.2,0,-0.006464,0.016747
67-2,6.2,1.47977364,1.161,1.00178595,3,0.333333333,0,0.06909,0.092832
701-,4.6,1.48268577,1.0733,0.88127369,19,0.368421053,1,-0.301992,0.228471
702-,3.1,1.472372257,1.1542,0.90475214,15,0.26666667,1,-0.305454,0.234047
719-2,3,1.586700132,1.5835,1.0011474,4,0.25,0,-0.234332,-0.062867
719-3,2.7,1.594340778,1.5943,0.96670712,4,0.25,0,-0.239152,-0.238652
74-,4.9,1.440848183,1.0846,0.95150855,19,0.368421053,1,-0.288455,0.216803
743-2,6.1,1.423148989,1.0037,0.97615183,17,0.411764706,1,-0.282412,0.200818
75-,3.1,1.443229037,1.1337,0.95861118,15,0.26666667,1,-0.295777,0.255414
771-2,4,1.466149788,1.1759,0.92921112,19,0.315789474,1,-0.308014,0.242019
776-,3.8,1.458192534,1.1557,0.93911538,19,0.263157895,1,-0.311122,0.235994
777-,3.4,1.435647847,1.0288,0.93799042,19,0.263157895,1,-0.278551,0.091807
778-,3.6,1.460725721,1.1554,0.93436984,19,0.263157895,1,-0.311395,0.229435
786-2,3.2,1.474162506,1.1862,0.92531397,11,0.27272727,1,-0.291451,0.256147
787-2,2.8,1.472635891,1.1824,0.9300846,11,0.27272727,1,-0.290909,0.257326
787-3,3.4,1.472333532,1.0868,0.92839461,11,0.27272727,1,-0.290248,0.25464
79-2,3.9,1.460316608,1.1711,0.93501366,15,0.26666667,1,-0.315708,0.238168
806-2,2.8,1.44706281,1.1263,0.8898278,15,0.26666667,1,-0.299774,0.24912
813-2,5.5,1.452144683,1.0674,0.96628843,15,0.333333333,1,-0.299664,0.190394
814-2,5.9,1.42433617,1.0939,1.00956368,15,0.333333333,1,-0.296819,0.225794
815-2,5.4,1.451699201,1.0661,0.9665346,15,0.333333333,1,-0.299518,0.189547
816-2,5.5,1.429185908,1.0751,0.99726261,15,0.333333333,1,-0.294824,0.228168
822-2,3,1.433215756,1.1354,0.95709745,15,0.26666667,1,-0.295708,0.199037
823-2,2.3,1.446796769,1.1318,0.93023965,15,0.26666667,1,-0.294049,0.221808
