Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
7,11,18,1.397682173,2.55,0,2.55,0,0,0,6,6,2,2
7,1,3,1.394906929,2.55,0,2.55,0,0,0,6,6,2,2
7,11,12,1.394905216,2.55,0,2.55,0,0,0,6,6,2,2
7,5,7,1.391844009,2.55,0,2.55,0,0,0,6,6,2,2
7,16,18,1.391789552,2.55,0,2.55,0,0,0,6,6,2,2
7,24,28,1.514253373,2.55,0,2.55,0,0,0,4,0,3,3
7,26,30,1.514022621,2.55,0,2.55,0,0,0,4,0,3,3
7,14,23,1.511063746,2.55,0,2.55,0,0,0,6,4,3,3
7,0,22,1.508755483,2.55,0,2.55,0,0,0,6,4,3,3
7,15,20,1.50741237,2.55,0,2.55,0,0,0,6,7,3,3
7,9,20,1.506368,2.55,0,2.55,0,0,0,6,7,3,3
7,35,40,1.430962073,3.44,1,2.55,0,0,0,0,0,2,1
7,33,36,1.429403769,3.44,1,2.55,0,0,0,0,0,2,1
7,30,35,1.344423823,2.55,0,3.44,1,0,0,0,0,3,2
7,28,33,1.340560044,2.55,0,3.44,1,0,0,0,0,3,2
7,20,21,1.218929498,2.55,0,3.44,1,0,0,7,0,3,1
7,28,32,1.20847562,2.55,0,3.44,1,0,0,0,0,3,1
7,30,34,1.206934886,2.55,0,3.44,1,0,0,0,0,3,1
8,35,36,1.568452915,2.55,0,2.55,0,0,0,4,4,3,3
8,34,35,1.563373643,2.55,0,2.55,0,0,0,4,4,3,3
8,34,38,1.562980068,2.55,0,2.55,0,0,0,4,4,3,3
8,36,38,1.546847547,2.55,0,2.55,0,0,0,4,4,3,3
8,11,12,1.407433265,2.55,0,2.55,0,1,1,6,6,2,3
8,7,9,1.405967576,2.55,0,2.55,0,1,1,6,6,2,3
8,1,9,1.402452608,2.55,0,2.55,0,1,1,6,6,2,3
8,12,13,1.402150278,2.55,0,2.55,0,1,1,6,6,3,2
8,17,18,1.402051977,2.55,0,2.55,0,1,1,6,6,3,2
8,13,15,1.399971583,2.55,0,2.55,0,1,1,6,6,2,2
8,15,17,1.399575048,2.55,0,2.55,0,1,1,6,6,2,3
8,4,5,1.399320712,2.55,0,2.55,0,1,1,6,6,3,2
8,1,2,1.399281135,2.55,0,2.55,0,1,1,6,6,2,2
8,2,4,1.398388292,2.55,0,2.55,0,1,1,6,6,2,3
8,5,7,1.393603615,2.55,0,2.55,0,1,1,6,6,2,2
8,11,18,1.391731026,2.55,0,2.55,0,1,1,6,6,2,2
8,36,42,1.509570656,2.55,0,2.55,0,0,0,4,0,3,3
8,9,34,1.509569546,2.55,0,2.55,0,1,0,6,4,3,3
8,38,40,1.509259321,2.55,0,2.55,0,0,0,4,0,3,3
8,27,28,1.509098382,2.55,0,2.55,0,0,0,0,0,3,1
8,22,23,1.508866924,2.55,0,2.55,0,0,0,0,0,3,1
8,12,35,1.506103446,2.55,0,2.55,0,1,0,6,4,3,3
8,44,48,1.430107464,3.44,1,2.55,0,0,0,0,0,2,1
8,45,52,1.428805248,3.44,1,2.55,0,0,0,0,0,2,1
8,4,20,1.388894606,2.55,0,3.44,1,1,0,6,0,3,2
8,17,21,1.387332234,2.55,0,3.44,1,1,0,6,0,3,2
8,20,22,1.363199024,3.44,1,2.55,0,0,0,0,0,2,3
8,21,27,1.361290955,3.44,1,2.55,0,0,0,0,0,2,3
8,40,44,1.346526239,2.55,0,3.44,1,0,0,0,0,3,2
8,42,45,1.344178015,2.55,0,3.44,1,0,0,0,0,3,2
8,42,47,1.208981478,2.55,0,3.44,1,0,0,0,0,3,1
8,40,46,1.208893685,2.55,0,3.44,1,0,0,0,0,3,1
8,27,33,1.202597805,2.55,0,3.44,1,0,0,0,0,3,1
8,22,32,1.201660368,2.55,0,3.44,1,0,0,0,0,3,1
9,34,35,1.59278479,2.55,0,2.55,0,0,0,4,4,3,3
9,34,38,1.56503594,2.55,0,2.55,0,0,0,4,4,3,3
9,36,38,1.556039382,2.55,0,2.55,0,0,0,4,4,3,3
9,35,36,1.550179181,2.55,0,2.55,0,0,0,4,4,3,3
9,7,9,1.407742649,2.55,0,2.55,0,1,1,6,6,2,3
9,12,13,1.405127903,2.55,0,2.55,0,1,1,6,6,3,2
9,11,12,1.404624346,2.55,0,2.55,0,1,1,6,6,2,3
9,1,9,1.401977185,2.55,0,2.55,0,1,1,6,6,2,3
9,4,5,1.401409538,2.55,0,2.55,0,1,1,6,6,3,2
9,1,2,1.400802912,2.55,0,2.55,0,1,1,6,6,2,2
9,2,4,1.398586528,2.55,0,2.55,0,1,1,6,6,2,3
9,17,18,1.398373487,2.55,0,2.55,0,1,1,6,6,3,2
9,15,17,1.398171054,2.55,0,2.55,0,1,1,6,6,2,3
9,11,18,1.397135765,2.55,0,2.55,0,1,1,6,6,2,2
9,13,15,1.394420228,2.55,0,2.55,0,1,1,6,6,2,2
9,5,7,1.391107204,2.55,0,2.55,0,1,1,6,6,2,2
9,38,40,1.514806456,2.55,0,2.55,0,0,0,4,0,3,3
9,36,42,1.511868206,2.55,0,2.55,0,0,0,4,0,3,3
9,9,34,1.511103656,2.55,0,2.55,0,1,0,6,4,3,3
9,22,23,1.509406936,2.55,0,2.55,0,0,0,0,0,3,1
9,27,28,1.508627771,2.55,0,2.55,0,0,0,0,0,3,1
9,12,35,1.504472876,2.55,0,2.55,0,1,0,6,4,3,3
9,45,52,1.429331297,3.44,1,2.55,0,0,0,0,0,2,1
9,44,48,1.428823039,3.44,1,2.55,0,0,0,0,0,2,1
9,17,21,1.389145139,2.55,0,3.44,1,1,0,6,0,3,2
